 Folio, Ejercicio, Mes, Fecha, Dia, Hora, Tipo_de_accidente, Resolución, Origen_de_reporte, Tipo_de_asentamiento, Nombre_de_asentamiento, Tipo_de_vialidad, Nombre_de_la_Vialidad, Georreferencia, Nota
383,2021,Octubre-Diciembre,2021-10-19,Martes,1899-12-30 00:00:00,Alcance Con Estrellamiento,Peritaje,911.0,Colonia,Mezquital,Avenida,Chopo  Jesus Dionicio Gzz  Col Radica,"25.777337, -100.226719",
1397,2021,Octubre-Diciembre,2021-11-28,Domingo,06:00:00,Alcance,Peritaje,911.0,Colonia,Centro,Calle,Morelos Treviño Col Centro,"25.783046, -100.189043",
390,2021,Octubre-Diciembre,2021-10-20,Miercoles,07:40:00,Alcance Con Estrellamiento,Peritaje,911.0,Colonia,Centro,Carretera,Miguel Aleman  Apodaca Villajuarez,"25.777162, -100.183933",
1402,2021,Octubre-Diciembre,2021-11-28,Domingo,14:00:00,Alcance,Investigaciones,911.0,Colonia,Mision De Fundadores,Avenida,E Sexta San Andres,"25.79638, -100.248576",
403,2021,Octubre-Diciembre,2021-10-20,Miercoles,21:50:00,Lateral,Peritaje,911.0,Colonia,Hacienda Las Palmas,Avenida,Av Sendero  Palmas Co Palmas,"25.770465, -100.265183",
1415,2021,Octubre-Diciembre,2021-11-28,Domingo,21:05:00,Alcance,Peritaje,911.0,Colonia,Metroplex,Avenida,Mision  San Gabriel Mision Cruz,"25.787894, -100.232486",
419,2021,Octubre-Diciembre,2021-10-20,Miercoles,23:20:00,Crucero,Peritaje,911.0,Colonia,Centro,Avenida,Benito Juarez  Stardo Guajardo  Col Centro,"25.778407, -100.196306",
1416,2021,Octubre-Diciembre,2021-11-28,Domingo,21:15:00,Crucero,Peritaje,911.0,Colonia,General Ignacio Zaragoza,Avenida,Humberto Ramos Lozano Paseo Del Virrey De Ceballos Col Rinconada Colonial,"25.793409, -100.19824",
440,2021,Octubre-Diciembre,2021-10-22,Viernes,05:40:00,De Frente,Peritaje,911.0,Colonia,Artemio Treviño,Carretera,Camino Agua Fria  Zuazua,"25.791477, -100.178548",
1447,2021,Octubre-Diciembre,2021-11-29,Lunes,15:45:00,Alcance,Peritaje,911.0,Colonia,Nuevo Amanecer,Avenida,Chile Canada Col Nuevo Amanecer,"25.779055, -100.250146",
501,2021,Octubre-Diciembre,2021-10-24,Domingo,20:30:00,Alcance,Peritaje,911.0,Colonia,Alamos Del Parque,Avenida,Mexico  Monerrey Noria Norte,"25.732607, -100.191129",
1487,2021,Octubre-Diciembre,2021-12-01,Miercoles,07:07:00,Alcance Con Estrellamiento,Peritaje,911.0,Colonia,Palmas,Avenida,Av Palmas                                      Galaxica Col Palamas,"25.787632, -100.266915",
505,2021,Octubre-Diciembre,2021-10-24,Domingo,06:30:00,Lateral Con Huida,Investigaciones,911.0,Colonia,Cosmopolis,Calle,Tilan  Andromeda Col Cosmopolis,"25.814955, -100.244962",
